ID;Accepted_species;Accepted_family;Genus_matched;Accepted_name_author;Accepted_name_url;life_form_Cardoso_et_al_2017;Bolivia;Brazil;Colombia;Ecuador;French_Guiana;Guyana;Herrero_Jauregui_et_al_2013;Peru;Piponiot_et_al_2019;Suriname;Venezuela;number_individuals_ATDN_plots;number_plots_ATDN_plots;estimated_ind_Amazon;log10_est_ind_Amazon;check_hyperdominant_spp;Forest_type_IV_max_hyperdominant;IV.indcls_hyperdominant;check ITTO_commercial_spp;check ITTO_LUS_spp;redlistCategory_IUCN_2022;yearPublished_IUCN_2022;Original_AOO_2050_IGS;Original_AOO_2050_BAU;2050_RCP_2.6;2050_RCP 8.5;2050_RCP 2.6_2050_IGS;2050_RCP 2.6_2050_BAU;2050_RCP 8.5_2050_IGS;2050_RCP_8.5_2050_BAU;Sub_region_AOO;check_CITES;appendix_CITES
165;Cedrelinga cateniformis;Fabaceae;Cedrelinga;(Ducke) Ducke;http://www.tropicos.org/Name/13008019;tree;1;1;1;1;NA;NA;1;1;1;1;NA;511;158;239675540;8;1;4;0.13;1;NA;Least Concern;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
166;Ceiba lupuna;Malvaceae;Ceiba;P.E. Gibbs & Semir;http://www.tropicos.org/Name/50203235;tree;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;VU;VU;VU;VU;VU;WAN;NA;NA
167;Ceiba pentandra;Malvaceae;Ceiba;(L.) Gaertn.;http://www.tropicos.org/Name/3900422;tree;1;1;1;1;NA;NA;1;1;1;1;1;314;166;166652214;8;NA;NA;0;NA;1;Least Concern;2017;VU;VU;NA;NA;VU;VU;VU;VU;GS;NA;NA
168;Ceiba samauma;Malvaceae;Ceiba;(Mart.) K. Schum.;http://www.tropicos.org/Name/3900067;tree;1;NA;NA;1;NA;NA;1;1;1;NA;NA;160;64;72660884;8;NA;NA;0;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
169;Centrolobium paraense;Fabaceae;Centrolobium;Tul.;http://www.tropicos.org/Name/13028524;tree;NA;NA;1;NA;NA;NA;1;NA;NA;NA;1;37;10;18272154;7;NA;NA;0;NA;1;NA;NA;NA;VU;VU;EN;EN;EN;EN;EN;GS;NA;NA
170;Cespedesia spathulata;Ochnaceae;Cespedesia;(Ruiz & Pav.) Planch.;http://www.tropicos.org/Name/22800393;shrub/ tree;NA;NA;NA;1;NA;NA;1;1;NA;NA;NA;102;36;42392649;8;NA;NA;0;NA;NA;Least Concern;2019;NA;VU;VU;EN;EN;EN;EN;EN;CA;NA;NA
171;Cestrum racemosum;Solanaceae;Cestrum;Ruiz & Pav.;http://www.tropicos.org/Name/29600597;tree;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;9;4;5604815;7;NA;NA;0;NA;NA;Least Concern;2019;NA;NA;VU;EN;VU;VU;EN;EN;WAN;NA;NA
172;Chaetocarpus schomburgkianus;Peraceae;Chaetocarpus;(Kuntze) Pax & K. Hoffm.;http://www.tropicos.org/Name/12805947;tree;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;968;112;232740459;8;NA;NA;0;NA;NA;Least Concern;2019;VU;VU;VU;EN;VU;EN;EN;CR;GS;NA;NA
173;Chamaecrista apoucouita;Fabaceae;Chamaecrista;(Aubl.) H.S. Irwin & Barneby;http://www.tropicos.org/Name/13045710;tree;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;190;19;33932575;8;NA;NA;0;NA;NA;Least Concern;2012;VU;VU;VU;VU;VU;EN;EN;EN;GS;NA;NA
174;Chaunochiton kappleri;Olacaceae;Chaunochiton;(Sagot ex Engl.) Ducke;http://www.tropicos.org/Name/22900181;tree;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;363;161;74923526;8;NA;NA;0;NA;NA;Least Concern;2020;VU;VU;VU;VU;VU;EN;EN;EN;SA;NA;NA
175;Chimarrhis glabriflora;Rubiaceae;Chimarrhis;Ducke;http://www.tropicos.org/Name/27909475;tree;NA;NA;NA;1;NA;NA;1;NA;NA;NA;NA;145;35;47351145;8;NA;NA;0;NA;1;Least Concern;2019;NA;NA;NA;NA;VU;VU;NA;VU;WAN;NA;NA
176;Chimarrhis turbinata;Rubiaceae;Chimarrhis;DC.;http://www.tropicos.org/Name/27909631;tree;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;1163;209;142130244;8;NA;NA;0;NA;NA;Least Concern;2020;VU;VU;EN;EN;EN;CR;CR;CR;GS;NA;NA
177;Chlorocardium rodiei;Lauraceae;Chlorocardium;(R.H. Schomb.) Rohwer. H.G. Richt. & van der Werff;http://www.tropicos.org/Name/17805576;tree;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;1030;31;237177194;8;1;4;0.03;NA;1;Data Deficient;2007;NA;VU;CR;CR;CR;CR;CR;CR;GS;NA;NA
178;Chrysophyllum amazonicum;Sapotaceae;Chrysophyllum;T.D. Penn.;http://www.tropicos.org/Name/28700973;tree;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;237;84;137161104;8;NA;NA;0;NA;NA;Least Concern;2019;NA;VU;VU;VU;VU;VU;VU;VU;CA;NA;NA
